Trainer_PK,Trainer_Div,Trainer_Num,Trainer_Name
970060,제주 목장,6,윤대근
970042,제주 목장,7,이재현
970050,제주 목장,8,양승희
970047,제주 목장,9,김경남
970006,제주 목장,10,김영주
970038,제주 목장,11,전기혁
970005,제주 목장,12,이경하
970072,제주 목장,13,황영원
970016,장수 목장,1,홍성호
970069,장수 목장,2,최종필
970068,장수 목장,3,조근원
970054,장수 목장,4,이상근
970061,장수 목장,5,고명주
970019,장수 목장,6,박복규
970065,장수 목장,7,전호용
970064,장수 목장,8,박승호
970074,장수 목장,9,서보엽
970010,장수 목장,10,김용선
70095,서울 경마장,1,박종곤
70150,서울 경마장,2,손영표
70098,서울 경마장,3,최영주
70117,서울 경마장,4,박윤규
70149,서울 경마장,5,우창구
70145,서울 경마장,6,홍대유
70157,서울 경마장,7,구자흥
70168,서울 경마장,8,최용구
70174,서울 경마장,9,강성오
70148,서울 경마장,10,정호익
70199,서울 경마장,11,조현수
70096,서울 경마장,12,서범석
70053,서울 경마장,13,이희영
70167,서울 경마장,14,이신영
70114,서울 경마장,15,박희철
70152,서울 경마장,16,최봉주
70094,서울 경마장,19,곽영효
70091,서울 경마장,20,배대선
70225,서울 경마장,21,문병기
70146,서울 경마장,22,안병기
70110,서울 경마장,23,유재길
70160,서울 경마장,24,서홍수
70182,서울 경마장,25,전승규
70108,서울 경마장,26,안해양
70163,서울 경마장,27,박병일
70085,서울 경마장,28,최상식
70144,서울 경마장,29,배휴준
70265,서울 경마장,30,토니
70175,서울 경마장,31,강환민
70103,서울 경마장,32,김윤섭
70165,서울 경마장,33,서인석
70244,서울 경마장,34,리카디
70198,서울 경마장,35,임채덕
70166,서울 경마장,37,심승태
70179,서울 경마장,40,송문길
70161,서울 경마장,41,신삼영
70181,서울 경마장,42,이관호
70197,서울 경마장,48,이준철
70164,서울 경마장,50,박재우
70200,서울 경마장,51,최용건
70170,서울 경마장,52,김동균
70177,서울 경마장,53,김동철
70115,서울 경마장,54,박천서
70130,부경 경마장,1,백광열
70134,부경 경마장,2,강형곤
70249,부경 경마장,3,문현철
70128,부경 경마장,4,임금만
70176,부경 경마장,6,구영준
70121,부경 경마장,7,김병학
70194,부경 경마장,8,토마스
70125,부경 경마장,9,양귀선
70173,부경 경마장,10,구민성
70224,부경 경마장,11,김영민
70137,부경 경마장,12,조용배
70226,부경 경마장,13,박재호
70133,부경 경마장,14,윤영훈
70180,부경 경마장,15,안우성
70127,부경 경마장,17,장세한
70132,부경 경마장,18,이정표
70123,부경 경마장,19,김영관
70129,부경 경마장,20,최기홍
70136,부경 경마장,21,민장기
70223,부경 경마장,22,강은석
70246,부경 경마장,23,손병직
70126,부경 경마장,24,김길중
70142,부경 경마장,26,방동석
70141,부경 경마장,27,이상영
70143,부경 경마장,28,하무선
70156,부경 경마장,30,울즐리
70186,부경 경마장,31,라이스
70138,부경 경마장,32,임동창
70086,부경 경마장,33,권승주
