F10,10,20.0,1200,72.0
F11,11,18.2,1091,65.5
F12,12,16.7,1000,60.0
F13,13,15.4,923,55.4
F14,14,14.3,857,51.4
F15,15,13.3,800,48.0
F16,16,12.5,750,45.0
F17,17,11.8,706,42.4
F18,18,11.1,667,40.0
F19,19,10.5,632,37.9
F20,20,10.0,600,36.0
F21,21,9.5,571,34.3
F22,22,9.1,545,32.7
F23,23,8.7,522,31.3
F24,24,8.3,500,30.0
F25,25,8.0,480,28.8
F26,26,7.7,462,27.7
F27,27,7.4,444,26.7
F28,28,7.1,429,25.7
F29,29,6.9,414,24.8
F30,30,6.7,400,24.0
F31,31,6.5,387,23.2
F32,32,6.3,375,22.5
F33,33,6.1,364,21.8
F34,34,5.9,353,21.2
F35,35,5.7,343,20.6
F36,36,5.6,333,20.0
F37,37,5.4,324,19.5
F38,38,5.3,316,18.9
F39,39,5.1,308,18.5
F40,40,5.0,300,18.0
F41,41,4.9,293,17.6
F42,42,4.8,286,17.1
F43,43,4.7,279,16.7
F44,44,4.5,273,16.4
F45,45,4.4,267,16.0
F46,46,4.3,261,15.7
F47,47,4.3,255,15.3
F48,48,4.2,250,15.0
F49,49,4.1,245,14.7
F50,50,4.0,240,14.4
F51,51,3.9,235,14.1
F52,52,3.8,231,13.8
F53,53,3.8,226,13.6
F54,54,3.7,222,13.3
F55,55,3.6,218,13.1
F56,56,3.6,214,12.9
F57,57,3.5,211,12.6
F58,58,3.4,207,12.4
F59,59,3.4,203,12.2
F60,60,3.3,200,12.0
F61,61,3.3,197,11.8
F62,62,3.2,194,11.6
F63,63,3.2,190,11.4
F64,64,3.1,188,11.3
F65,65,3.1,185,11.1
F66,66,3.0,182,10.9
F67,67,3.0,179,10.7
F68,68,2.9,176,10.6
F69,69,2.9,174,10.4
F70,70,2.9,171,10.3
F71,71,2.8,169,10.1
F72,72,2.8,167,10.0
F73,73,2.7,164,9.9
F74,74,2.7,162,9.7
F75,75,2.7,160,9.6
F76,76,2.6,158,9.5
F77,77,2.6,156,9.4
F78,78,2.6,154,9.2
F79,79,2.5,152,9.1
F80,80,2.5,150,9.0
F81,81,2.5,148,8.9
F82,82,2.4,146,8.8
F83,83,2.4,145,8.7
F84,84,2.4,143,8.6
F85,85,2.4,141,8.5
F86,86,2.3,140,8.4
F87,87,2.3,138,8.3
F88,88,2.3,136,8.2
F89,89,2.2,135,8.1
F90,90,2.2,133,8.0
F91,91,2.2,132,7.9
F92,92,2.2,130,7.8
F93,93,2.2,129,7.7
F94,94,2.1,128,7.7
F95,95,2.1,126,7.6
F96,96,2.1,125,7.5
F97,97,2.1,124,7.4
F98,98,2.0,122,7.3
F99,99,2.0,121,7.3
F100,100,2.0,120,7.2
